ID,Predict
Ses01F_script01_3_F000,1
Ses01F_script01_3_F001,2
Ses01F_script01_3_F002,3
Ses01F_script01_3_F003,3
Ses01F_script01_3_F004,1
Ses01F_script01_3_F005,3
Ses01F_script01_3_F006,3
Ses01F_script01_3_F007,3
Ses01F_script01_3_F008,2
Ses01F_script01_3_F009,2
Ses01F_script01_3_F010,1
Ses01F_script01_3_F011,1
Ses01F_script01_3_F012,1
Ses01F_script01_3_F013,1
Ses01F_script01_3_F014,3
Ses01F_script01_3_F015,3
Ses01F_script01_3_F016,3
Ses01F_script01_3_F017,1
Ses01F_script01_3_F019,0
Ses01F_script01_3_F020,1
Ses01F_script01_3_F021,1
Ses01F_script01_3_F022,3
Ses01F_script01_3_F028,3
Ses01F_script01_3_F029,3
Ses01F_script01_3_F030,3
Ses01F_script01_3_F031,3
Ses01F_script01_3_F035,1
Ses01F_script03_2_F000,1
Ses01F_script03_2_F001,1
Ses01F_script03_2_F002,1
Ses01F_script03_2_F004,1
Ses01F_script03_2_F005,2
Ses01F_script03_2_F013,3
Ses01F_script03_2_F014,0
Ses01F_script03_2_F015,3
Ses01F_script03_2_F016,1
Ses01F_script03_2_F017,2
Ses01F_script03_2_F018,1
Ses01F_script03_2_F021,0
Ses01F_script03_2_F022,0
Ses01F_script03_2_F023,0
Ses01F_script03_2_F024,0
Ses01F_script03_2_F025,1
Ses01F_script03_2_F026,2
Ses01F_script03_2_F027,0
Ses01F_script03_2_F028,1
Ses01F_script03_2_F029,0
Ses01F_script03_2_F030,2
Ses01F_script03_2_F031,1
Ses01F_script03_2_F032,1
Ses01F_script03_2_F034,2
Ses01F_script03_2_F035,0
Ses01F_script03_2_F036,0
Ses01F_script03_2_F037,0
Ses01F_script03_2_F038,0
Ses01F_script03_2_F039,1
Ses01F_script03_2_F040,0
Ses01F_script02_2_F000,3
Ses01F_script02_2_F001,0
Ses01F_script02_2_F006,0
Ses01F_script02_2_F008,0
Ses01F_script02_2_F009,0
Ses01F_script02_2_F010,0
Ses01F_script02_2_F015,3
Ses01F_script02_2_F016,0
Ses01F_script02_2_F017,3
Ses01F_script02_2_F019,3
Ses01F_script02_2_F022,3
Ses01F_script02_2_F023,3
Ses01F_script02_2_F026,1
Ses01F_script02_2_F034,3
Ses01F_script02_2_F035,3
Ses01F_script02_2_F036,3
Ses01F_script02_2_F040,3
Ses01F_script02_2_F041,3
Ses01F_script02_2_F042,3
Ses01F_script02_2_F043,1
Ses01F_script02_2_F044,3
Ses01F_script02_2_F045,3
Ses01F_script02_2_F046,3
Ses01F_script02_2_F047,3
Ses01M_impro04_F000,3
Ses01M_impro04_F002,3
Ses01M_impro04_F003,3
Ses01M_impro04_F004,1
Ses01M_impro04_F005,2
Ses01M_impro04_F006,3
Ses01M_impro04_F007,2
Ses01M_impro04_F008,2
Ses01M_impro04_F009,2
Ses01M_impro04_F010,2
Ses01M_impro04_F011,1
Ses01M_impro04_F012,2
Ses01M_impro04_F013,1
Ses01M_impro04_F014,3
Ses01M_impro04_F015,2
Ses01M_impro04_F016,0
Ses01M_impro04_F017,2
Ses01M_impro04_F018,2
Ses01M_impro04_F019,0
Ses01M_impro04_F020,2
Ses01M_impro04_F021,1
Ses01M_impro04_F022,2
Ses01M_impro04_F023,1
Ses01M_impro04_F025,2
Ses01M_impro03_F002,1
Ses01M_impro03_F003,1
Ses01M_impro03_F004,0
Ses01M_impro03_F005,0
Ses01M_impro03_F006,1
Ses01M_impro03_F007,0
Ses01M_impro03_F008,0
Ses01M_impro03_F009,1
Ses01M_impro03_F010,1
Ses01M_impro03_F011,1
Ses01M_impro03_F012,1
Ses01M_impro03_F013,1
Ses01M_impro03_F014,1
Ses01M_impro03_F015,1
Ses01M_impro03_F016,1
Ses01M_impro03_F017,0
Ses01M_impro03_F018,1
Ses01M_impro03_F019,0
Ses01M_impro03_F020,2
Ses01M_impro03_F021,1
Ses01M_impro03_F022,1
Ses01M_impro03_F023,0
Ses01M_impro03_F024,1
Ses01M_impro03_F025,1
Ses01M_impro03_F026,1
Ses01F_impro02_F000,3
Ses01F_impro02_F001,3
Ses01F_impro02_F002,3
Ses01F_impro02_F003,3
Ses01F_impro02_F004,3
Ses01F_impro02_F005,3
Ses01F_impro02_F006,3
Ses01F_impro02_F008,3
Ses01F_impro02_F010,3
Ses01F_impro02_F012,3
Ses01F_impro02_F013,3
Ses01F_impro02_F014,3
Ses01F_impro02_F015,3
Ses01F_impro02_F016,3
Ses01F_impro02_F017,1
Ses01F_impro02_F018,3
Ses01F_impro02_F019,3
Ses01F_impro02_F020,3
Ses01M_script01_2_F000,0
Ses01M_script01_2_F001,3
Ses01M_script01_2_F004,0
Ses01M_script01_2_F005,0
Ses01M_script01_2_F009,0
Ses01M_script01_2_F011,0
Ses01M_script01_2_F012,0
Ses01M_script01_2_F013,0
Ses01F_impro05_F008,0
Ses01F_impro05_F009,0
Ses01F_impro05_F011,0
Ses01F_impro05_F012,1
Ses01F_impro05_F014,0
Ses01F_impro05_F015,0
Ses01F_impro05_F016,0
Ses01F_impro05_F017,0
Ses01F_impro05_F018,0
Ses01F_impro05_F019,0
Ses01F_impro05_F020,0
Ses01F_impro05_F021,0
Ses01F_impro05_F022,0
Ses01F_impro05_F023,0
Ses01F_impro05_F024,0
Ses01F_impro05_F025,0
Ses01F_impro05_F026,0
Ses01F_impro05_F028,2
Ses01F_impro05_F029,1
Ses01F_impro05_F030,2
Ses01F_script01_2_F003,0
Ses01F_script01_2_F004,3
Ses01F_script01_2_F005,0
Ses01F_script01_2_F006,0
Ses01F_script01_2_F007,0
Ses01F_script01_2_F008,0
Ses01F_script01_2_F009,0
Ses01F_script01_2_F010,0
Ses01F_script01_2_F011,0
Ses01F_script01_2_F012,0
Ses01F_script01_2_F013,0
Ses01M_script02_2_F000,1
Ses01M_script02_2_F010,0
Ses01M_script02_2_F011,0
Ses01M_script02_2_F013,0
Ses01M_script02_2_F014,0
Ses01M_script02_2_F015,0
Ses01M_script02_2_F016,0
Ses01M_script02_2_F019,3
Ses01M_script02_2_F022,2
Ses01M_script02_2_F024,3
Ses01M_script02_2_F025,3
Ses01M_script02_2_F026,2
Ses01M_script02_2_F030,0
Ses01M_script02_2_F031,0
Ses01M_script02_2_F032,0
Ses01M_script02_2_F033,3
Ses01M_script02_2_F034,1
Ses01M_script02_2_F035,3
Ses01M_script02_2_F036,0
Ses01M_script02_2_F037,3
Ses01M_script02_2_F040,3
Ses01M_script02_2_F044,3
Ses01M_script02_2_F045,3
Ses01M_script02_2_F046,3
Ses01M_script02_2_F047,3
Ses01M_script01_3_F000,3
Ses01M_script01_3_F001,1
Ses01M_script01_3_F003,3
Ses01M_script01_3_F004,2
Ses01M_script01_3_F005,3
Ses01M_script01_3_F006,3
Ses01M_script01_3_F008,1
Ses01M_script01_3_F012,3
Ses01M_script01_3_F014,1
Ses01M_script01_3_F015,1
Ses01M_script01_3_F016,1
Ses01M_script01_3_F018,3
Ses01M_script01_3_F019,1
Ses01M_script01_3_F021,3
Ses01M_script01_3_F022,3
Ses01M_script01_3_F023,3
Ses01M_script01_3_F024,3
Ses01M_script01_3_F025,3
Ses01M_script01_3_F026,3
Ses01M_script01_3_F030,2
Ses01F_impro04_F000,2
Ses01F_impro04_F001,2
Ses01F_impro04_F005,3
Ses01F_impro04_F006,1
Ses01F_impro04_F009,1
Ses01F_impro04_F013,1
Ses01F_impro04_F014,1
Ses01F_impro04_F028,1
Ses01F_impro04_F029,0
Ses01F_impro04_F030,0
Ses01F_impro04_F031,0
Ses01F_impro04_F032,1
Ses01F_impro04_F033,0
Ses01F_impro03_F000,1
Ses01F_impro03_F001,1
Ses01F_impro03_F002,1
Ses01F_impro03_F004,1
Ses01F_impro03_F005,1
Ses01F_impro03_F006,1
Ses01F_impro03_F008,1
Ses01F_impro03_F009,1
Ses01F_impro03_F010,1
Ses01F_impro03_F012,1
Ses01F_impro03_F013,1
Ses01F_impro03_F015,1
Ses01F_impro03_F016,1
Ses01F_impro03_F017,1
Ses01F_impro03_F018,1
Ses01F_impro03_F019,2
Ses01F_impro03_F021,1
Ses01F_impro03_F022,1
Ses01F_impro03_F023,3
Ses01F_impro03_F024,3
Ses01F_impro03_F025,1
Ses01F_impro03_F026,1
Ses01M_impro02_F000,2
Ses01M_impro02_F009,3
Ses01M_impro02_F010,2
Ses01M_impro02_F013,3
Ses01M_impro02_F015,3
Ses01M_impro02_F017,3
Ses01M_impro02_F019,2
Ses01M_impro05_F000,1
Ses01M_impro05_F001,2
Ses01M_impro05_F002,1
Ses01M_impro05_F003,1
Ses01M_impro05_F004,0
Ses01M_impro05_F005,2
Ses01M_impro05_F006,1
Ses01M_impro05_F007,0
Ses01M_impro05_F011,0
Ses01M_impro05_F012,1
Ses01M_impro05_F013,1
Ses01M_impro05_F014,0
Ses01M_impro05_F015,0
Ses01M_impro05_F016,0
Ses01M_impro05_F017,3
Ses01M_impro05_F018,3
Ses01M_impro05_F019,1
Ses01M_impro05_F020,0
Ses01M_impro05_F021,2
Ses01M_impro05_F022,2
Ses01M_impro05_F023,0
Ses01M_impro05_F024,0
Ses01M_impro05_F025,1
Ses01M_impro05_F026,2
Ses01M_impro05_F027,2
Ses01M_impro05_F028,2
Ses01M_impro05_F029,3
Ses01M_impro05_F030,2
Ses01M_impro05_F031,2
Ses01M_impro05_F032,2
Ses01M_impro05_F033,2
Ses01M_impro05_F034,0
Ses01M_script03_2_F006,1
Ses01M_script03_2_F010,2
Ses01M_script03_2_F011,0
Ses01M_script03_2_F015,0
Ses01M_script03_2_F017,2
Ses01M_script03_2_F022,0
Ses01M_script03_2_F023,0
Ses01M_script03_2_F024,0
Ses01M_script03_2_F025,0
Ses01M_script03_2_F026,0
Ses01M_script03_2_F027,0
Ses01M_script03_2_F028,0
Ses01M_script03_2_F029,2
Ses01M_script03_2_F030,0
Ses01M_script03_2_F031,1
Ses01M_script03_2_F033,0
Ses01M_script03_2_F034,0
Ses01M_script03_2_F035,0
Ses01M_script03_2_F036,0
Ses01M_script03_2_F037,0
Ses01M_script03_2_F038,0
Ses01M_script03_2_F039,0
Ses01M_script03_2_F040,0
Ses01M_script03_2_F041,0
Ses01F_impro07_F000,0
Ses01F_impro07_F002,1
Ses01F_impro07_F003,1
Ses01F_impro07_F004,1
Ses01F_impro07_F005,0
Ses01F_impro07_F009,1
Ses01F_impro07_F010,1
Ses01F_impro07_F012,1
Ses01F_impro07_F013,1
Ses01F_impro07_F016,1
Ses01M_impro06_F000,2
Ses01M_impro06_F001,2
Ses01M_impro06_F002,3
Ses01M_impro06_F003,3
Ses01M_impro06_F004,3
Ses01M_impro06_F005,3
Ses01M_impro06_F006,3
Ses01M_impro06_F007,3
Ses01M_impro06_F008,3
Ses01M_impro06_F009,3
Ses01M_impro06_F010,3
Ses01M_impro06_F011,2
Ses01M_impro06_F012,1
Ses01M_impro06_F013,2
Ses01M_impro06_F014,1
Ses01M_impro06_F015,2
Ses01M_impro06_F016,3
Ses01M_impro06_F017,3
Ses01M_impro06_F018,3
Ses01M_impro06_F019,3
Ses01M_impro06_F020,2
Ses01M_impro06_F021,3
Ses01M_impro06_F022,3
Ses01M_impro06_F023,3
Ses01M_impro06_F024,3
Ses01M_impro06_F025,3
Ses01M_impro06_F026,3
Ses01M_impro06_F027,3
Ses01M_impro06_F028,3
Ses01M_impro01_F000,0
Ses01M_impro01_F001,0
Ses01M_impro01_F007,0
Ses01M_impro01_F008,0
Ses01M_impro01_F011,0
Ses01M_impro01_F012,0
Ses01M_impro01_F019,0
Ses01M_impro01_F020,0
Ses01M_impro01_F021,0
Ses01M_impro01_F022,0
Ses01M_impro01_F024,0
Ses01M_impro01_F025,0
Ses01M_script03_1_F003,1
Ses01M_script03_1_F004,1
Ses01M_script03_1_F007,1
Ses01M_script03_1_F008,1
Ses01M_script03_1_F009,1
Ses01M_script03_1_F010,2
Ses01M_script03_1_F011,3
Ses01M_script03_1_F014,1
Ses01M_script03_1_F015,1
Ses01M_script03_1_F017,1
Ses01M_script03_1_F018,1
Ses01M_script03_1_F019,2
Ses01M_script03_1_F021,0
Ses01M_script03_1_F024,1
Ses01M_script03_1_F030,1
Ses01M_script03_1_F031,1
Ses01M_script03_1_F034,1
Ses01M_script03_1_F036,1
Ses01M_script03_1_F037,1
Ses01M_script03_1_F038,1
Ses01M_script03_1_F039,1
Ses01M_script03_1_F040,1
Ses01M_script03_1_F041,1
Ses01F_script01_1_F005,3
Ses01F_script01_1_F015,3
Ses01F_script01_1_F034,3
Ses01F_script01_1_F035,0
Ses01F_script01_1_F037,0
Ses01F_script01_1_F038,0
Ses01F_script01_1_F041,0
Ses01F_script01_1_F042,0
Ses01M_script02_1_F005,0
Ses01M_script02_1_F007,3
Ses01M_script02_1_F008,3
Ses01M_script02_1_F009,3
Ses01M_script02_1_F014,0
Ses01M_script02_1_F017,1
Ses01M_script02_1_F021,0
Ses01M_script02_1_F022,0
Ses01M_script02_1_F023,0
Ses01F_script02_1_F000,2
Ses01F_script02_1_F004,2
Ses01F_script02_1_F006,0
Ses01F_script02_1_F007,1
Ses01F_script02_1_F008,2
Ses01F_script02_1_F009,1
Ses01F_script02_1_F010,3
Ses01F_script02_1_F015,2
Ses01F_script02_1_F024,1
Ses01F_script02_1_F025,2
Ses01M_impro07_F000,1
Ses01M_impro07_F001,0
Ses01M_impro07_F003,0
Ses01M_impro07_F004,0
Ses01M_impro07_F005,0
Ses01M_impro07_F006,1
Ses01M_impro07_F007,0
Ses01M_impro07_F008,1
Ses01M_impro07_F009,0
Ses01M_impro07_F010,1
Ses01M_impro07_F011,1
Ses01M_impro07_F012,1
Ses01M_impro07_F013,1
Ses01M_impro07_F014,1
Ses01M_impro07_F015,0
Ses01M_impro07_F016,0
Ses01M_impro07_F018,1
Ses01M_impro07_F020,1
Ses01M_impro07_F021,1
Ses01M_impro07_F022,1
Ses01M_impro07_F023,1
Ses01M_impro07_F024,1
Ses01M_impro07_F025,1
Ses01M_impro07_F026,0
Ses01M_impro07_F027,1
Ses01M_impro07_F033,1
Ses01M_impro07_F034,1
Ses01M_script01_1_F004,2
Ses01M_script01_1_F005,3
Ses01M_script01_1_F006,1
Ses01M_script01_1_F008,3
Ses01M_script01_1_F011,0
Ses01M_script01_1_F014,0
Ses01M_script01_1_F015,3
Ses01M_script01_1_F016,0
Ses01M_script01_1_F017,0
Ses01M_script01_1_F020,0
Ses01M_script01_1_F023,0
Ses01M_script01_1_F024,0
Ses01M_script01_1_F025,0
Ses01M_script01_1_F026,0
Ses01M_script01_1_F029,0
Ses01M_script01_1_F030,0
Ses01M_script01_1_F031,3
Ses01M_script01_1_F032,0
Ses01M_script01_1_F035,0
Ses01M_script01_1_F036,0
Ses01M_script01_1_F037,0
Ses01M_script01_1_F039,0
Ses01M_script01_1_F040,0
Ses01M_script01_1_F041,0
Ses01M_script01_1_F042,0
Ses01M_script01_1_F043,0
Ses01F_impro06_F002,3
Ses01F_impro06_F003,3
Ses01F_impro06_F004,3
Ses01F_impro06_F005,3
Ses01F_impro06_F006,3
Ses01F_impro06_F007,3
Ses01F_impro06_F008,3
Ses01F_impro06_F009,3
Ses01F_impro06_F010,3
Ses01F_impro06_F011,3
Ses01F_impro06_F012,2
Ses01F_impro06_F013,3
Ses01F_impro06_F014,3
Ses01F_impro06_F015,3
Ses01F_impro06_F016,3
Ses01F_impro06_F018,2
Ses01F_impro06_F019,3
Ses01F_impro06_F020,3
Ses01F_impro06_F021,3
Ses01F_impro06_F022,3
Ses01F_impro06_F023,3
Ses01F_impro06_F024,3
Ses01F_impro06_F025,3
Ses01F_impro06_F026,3
Ses01F_impro06_F027,3
Ses01F_impro06_F028,3
Ses01F_impro01_F000,2
Ses01F_impro01_F001,0
Ses01F_impro01_F002,2
Ses01F_impro01_F005,0
Ses01F_impro01_F012,0
Ses01F_impro01_F014,1
Ses01F_script03_1_F005,1
Ses01F_script03_1_F006,1
Ses01F_script03_1_F007,1
Ses01F_script03_1_F010,1
Ses01F_script03_1_F011,1
Ses01F_script03_1_F012,1
Ses01F_script03_1_F020,1
Ses01F_script03_1_F021,2
Ses01F_script03_1_F022,1
Ses01F_script03_1_F024,1
Ses01F_script03_1_F029,2
Ses01F_script03_1_F030,1
